student_id,roll_number,name,department,semester,enrollment_year,guardian_name,guardian_phone,guardian_email,mentor_id,trajectory_type,dropout_label
1,EEE20260001,Student 0001,EEE,6,2023,Guardian 0001,+919000000001,guardian0001@example.test,9,RAPIDLY_DETERIORATING,0
2,EEE20260002,Student 0002,EEE,7,2022,Guardian 0002,+919000000002,guardian0002@example.test,8,IMPROVING,0
3,ECE20260003,Student 0003,ECE,7,2022,Guardian 0003,+919000000003,guardian0003@example.test,4,ACADEMIC_DISTRESS_ONLY,0
4,ECE20260004,Student 0004,ECE,4,2024,Guardian 0004,+919000000004,guardian0004@example.test,8,GRADUALLY_DETERIORATING,1
5,CSE20260005,Student 0005,CSE,1,2025,Guardian 0005,+919000000005,guardian0005@example.test,14,STABLE,0
6,EEE20260006,Student 0006,EEE,1,2025,Guardian 0006,+919000000006,guardian0006@example.test,5,FINANCIAL_CONTEXT_ONLY,0
7,ME20260007,Student 0007,ME,2,2025,Guardian 0007,+919000000007,guardian0007@example.test,11,RAPIDLY_DETERIORATING,1
8,ECE20260008,Student 0008,ECE,8,2022,Guardian 0008,+919000000008,guardian0008@example.test,1,RAPIDLY_DETERIORATING,1
9,CE20260009,Student 0009,CE,7,2022,Guardian 0009,+919000000009,guardian0009@example.test,7,STABLE,0
10,ECE20260010,Student 0010,ECE,2,2025,Guardian 0010,+919000000010,guardian0010@example.test,10,IMPROVING,0
11,ME20260011,Student 0011,ME,3,2024,Guardian 0011,+919000000011,guardian0011@example.test,8,IMPROVING,0
12,EEE20260012,Student 0012,EEE,4,2024,Guardian 0012,+919000000012,guardian0012@example.test,12,FINANCIAL_CONTEXT_ONLY,0
13,CE20260013,Student 0013,CE,6,2023,Guardian 0013,+919000000013,guardian0013@example.test,3,GRADUALLY_DETERIORATING,1
14,CE20260014,Student 0014,CE,8,2022,Guardian 0014,+919000000014,guardian0014@example.test,10,ACADEMIC_DISTRESS_ONLY,1
15,CE20260015,Student 0015,CE,2,2025,Guardian 0015,+919000000015,guardian0015@example.test,12,IMPROVING,0
16,ME20260016,Student 0016,ME,6,2023,Guardian 0016,+919000000016,guardian0016@example.test,3,STABLE,0
17,EEE20260017,Student 0017,EEE,8,2022,Guardian 0017,+919000000017,guardian0017@example.test,15,GRADUALLY_DETERIORATING,0
18,ME20260018,Student 0018,ME,7,2022,Guardian 0018,+919000000018,guardian0018@example.test,15,STABLE,0
19,ME20260019,Student 0019,ME,4,2024,Guardian 0019,+919000000019,guardian0019@example.test,13,ACADEMIC_DISTRESS_ONLY,1
20,ECE20260020,Student 0020,ECE,7,2022,Guardian 0020,+919000000020,guardian0020@example.test,12,GRADUALLY_DETERIORATING,1
21,ME20260021,Student 0021,ME,4,2024,Guardian 0021,+919000000021,guardian0021@example.test,14,RAPIDLY_DETERIORATING,1
22,CSE20260022,Student 0022,CSE,2,2025,Guardian 0022,+919000000022,guardian0022@example.test,14,IMPROVING,1
23,CE20260023,Student 0023,CE,2,2025,Guardian 0023,+919000000023,guardian0023@example.test,3,FINANCIAL_CONTEXT_ONLY,0
24,ECE20260024,Student 0024,ECE,8,2022,Guardian 0024,+919000000024,guardian0024@example.test,9,ACADEMIC_DISTRESS_ONLY,1
25,CSE20260025,Student 0025,CSE,1,2025,Guardian 0025,+919000000025,guardian0025@example.test,5,RAPIDLY_DETERIORATING,1
26,ECE20260026,Student 0026,ECE,7,2022,Guardian 0026,+919000000026,guardian0026@example.test,10,STABLE,0
27,ME20260027,Student 0027,ME,6,2023,Guardian 0027,+919000000027,guardian0027@example.test,12,IMPROVING,0
28,CE20260028,Student 0028,CE,6,2023,Guardian 0028,+919000000028,guardian0028@example.test,6,STABLE,0
29,EEE20260029,Student 0029,EEE,3,2024,Guardian 0029,+919000000029,guardian0029@example.test,14,STABLE,0
30,EEE20260030,Student 0030,EEE,5,2023,Guardian 0030,+919000000030,guardian0030@example.test,12,GRADUALLY_DETERIORATING,0
31,ECE20260031,Student 0031,ECE,5,2023,Guardian 0031,+919000000031,guardian0031@example.test,7,RAPIDLY_DETERIORATING,1
32,EEE20260032,Student 0032,EEE,1,2025,Guardian 0032,+919000000032,guardian0032@example.test,13,FINANCIAL_CONTEXT_ONLY,0
33,ME20260033,Student 0033,ME,4,2024,Guardian 0033,+919000000033,guardian0033@example.test,13,STABLE,0
34,ME20260034,Student 0034,ME,1,2025,Guardian 0034,+919000000034,guardian0034@example.test,6,IMPROVING,0
35,CE20260035,Student 0035,CE,6,2023,Guardian 0035,+919000000035,guardian0035@example.test,6,IMPROVING,0
36,CSE20260036,Student 0036,CSE,3,2024,Guardian 0036,+919000000036,guardian0036@example.test,3,STABLE,1
37,CE20260037,Student 0037,CE,8,2022,Guardian 0037,+919000000037,guardian0037@example.test,11,STABLE,0
38,ME20260038,Student 0038,ME,2,2025,Guardian 0038,+919000000038,guardian0038@example.test,9,IMPROVING,1
39,ME20260039,Student 0039,ME,3,2024,Guardian 0039,+919000000039,guardian0039@example.test,3,STABLE,0
40,CE20260040,Student 0040,CE,6,2023,Guardian 0040,+919000000040,guardian0040@example.test,15,GRADUALLY_DETERIORATING,0
41,EEE20260041,Student 0041,EEE,4,2024,Guardian 0041,+919000000041,guardian0041@example.test,15,IMPROVING,0
42,CE20260042,Student 0042,CE,5,2023,Guardian 0042,+919000000042,guardian0042@example.test,11,ACADEMIC_DISTRESS_ONLY,0
43,CE20260043,Student 0043,CE,7,2022,Guardian 0043,+919000000043,guardian0043@example.test,7,RAPIDLY_DETERIORATING,1
44,EEE20260044,Student 0044,EEE,5,2023,Guardian 0044,+919000000044,guardian0044@example.test,11,STABLE,0
45,CE20260045,Student 0045,CE,5,2023,Guardian 0045,+919000000045,guardian0045@example.test,15,ACADEMIC_DISTRESS_ONLY,0
46,CE20260046,Student 0046,CE,1,2025,Guardian 0046,+919000000046,guardian0046@example.test,15,RAPIDLY_DETERIORATING,1
47,EEE20260047,Student 0047,EEE,6,2023,Guardian 0047,+919000000047,guardian0047@example.test,15,IMPROVING,0
48,CE20260048,Student 0048,CE,1,2025,Guardian 0048,+919000000048,guardian0048@example.test,2,STABLE,0
49,ME20260049,Student 0049,ME,7,2022,Guardian 0049,+919000000049,guardian0049@example.test,15,GRADUALLY_DETERIORATING,0
50,ME20260050,Student 0050,ME,7,2022,Guardian 0050,+919000000050,guardian0050@example.test,7,STABLE,0
51,ECE20260051,Student 0051,ECE,4,2024,Guardian 0051,+919000000051,guardian0051@example.test,2,STABLE,0
52,CE20260052,Student 0052,CE,2,2025,Guardian 0052,+919000000052,guardian0052@example.test,9,STABLE,0
53,ECE20260053,Student 0053,ECE,8,2022,Guardian 0053,+919000000053,guardian0053@example.test,7,RAPIDLY_DETERIORATING,1
54,EEE20260054,Student 0054,EEE,1,2025,Guardian 0054,+919000000054,guardian0054@example.test,6,GRADUALLY_DETERIORATING,1
55,ECE20260055,Student 0055,ECE,1,2025,Guardian 0055,+919000000055,guardian0055@example.test,14,RAPIDLY_DETERIORATING,1
56,CE20260056,Student 0056,CE,6,2023,Guardian 0056,+919000000056,guardian0056@example.test,12,RAPIDLY_DETERIORATING,0
57,CE20260057,Student 0057,CE,6,2023,Guardian 0057,+919000000057,guardian0057@example.test,6,IMPROVING,1
58,EEE20260058,Student 0058,EEE,8,2022,Guardian 0058,+919000000058,guardian0058@example.test,4,GRADUALLY_DETERIORATING,0
59,ECE20260059,Student 0059,ECE,7,2022,Guardian 0059,+919000000059,guardian0059@example.test,7,STABLE,0
60,CSE20260060,Student 0060,CSE,3,2024,Guardian 0060,+919000000060,guardian0060@example.test,11,STABLE,1
61,CE20260061,Student 0061,CE,4,2024,Guardian 0061,+919000000061,guardian0061@example.test,11,GRADUALLY_DETERIORATING,0
62,EEE20260062,Student 0062,EEE,3,2024,Guardian 0062,+919000000062,guardian0062@example.test,4,IMPROVING,0
63,ME20260063,Student 0063,ME,3,2024,Guardian 0063,+919000000063,guardian0063@example.test,12,GRADUALLY_DETERIORATING,1
64,EEE20260064,Student 0064,EEE,6,2023,Guardian 0064,+919000000064,guardian0064@example.test,9,RAPIDLY_DETERIORATING,1
65,CSE20260065,Student 0065,CSE,3,2024,Guardian 0065,+919000000065,guardian0065@example.test,9,GRADUALLY_DETERIORATING,1
66,EEE20260066,Student 0066,EEE,6,2023,Guardian 0066,+919000000066,guardian0066@example.test,2,GRADUALLY_DETERIORATING,1
67,ME20260067,Student 0067,ME,6,2023,Guardian 0067,+919000000067,guardian0067@example.test,7,GRADUALLY_DETERIORATING,0
68,EEE20260068,Student 0068,EEE,6,2023,Guardian 0068,+919000000068,guardian0068@example.test,5,STABLE,0
69,ME20260069,Student 0069,ME,2,2025,Guardian 0069,+919000000069,guardian0069@example.test,2,STABLE,0
70,ME20260070,Student 0070,ME,7,2022,Guardian 0070,+919000000070,guardian0070@example.test,11,IMPROVING,0
71,CSE20260071,Student 0071,CSE,4,2024,Guardian 0071,+919000000071,guardian0071@example.test,8,STABLE,0
72,EEE20260072,Student 0072,EEE,3,2024,Guardian 0072,+919000000072,guardian0072@example.test,3,IMPROVING,0
73,CSE20260073,Student 0073,CSE,1,2025,Guardian 0073,+919000000073,guardian0073@example.test,6,ACADEMIC_DISTRESS_ONLY,1
74,ECE20260074,Student 0074,ECE,3,2024,Guardian 0074,+919000000074,guardian0074@example.test,7,STABLE,0
75,EEE20260075,Student 0075,EEE,3,2024,Guardian 0075,+919000000075,guardian0075@example.test,7,STABLE,0
76,ME20260076,Student 0076,ME,8,2022,Guardian 0076,+919000000076,guardian0076@example.test,12,STABLE,0
77,EEE20260077,Student 0077,EEE,3,2024,Guardian 0077,+919000000077,guardian0077@example.test,6,STABLE,0
78,EEE20260078,Student 0078,EEE,5,2023,Guardian 0078,+919000000078,guardian0078@example.test,5,GRADUALLY_DETERIORATING,0
79,ECE20260079,Student 0079,ECE,5,2023,Guardian 0079,+919000000079,guardian0079@example.test,15,GRADUALLY_DETERIORATING,0
80,CE20260080,Student 0080,CE,5,2023,Guardian 0080,+919000000080,guardian0080@example.test,10,RAPIDLY_DETERIORATING,1
81,EEE20260081,Student 0081,EEE,2,2025,Guardian 0081,+919000000081,guardian0081@example.test,5,GRADUALLY_DETERIORATING,1
82,ECE20260082,Student 0082,ECE,3,2024,Guardian 0082,+919000000082,guardian0082@example.test,14,IMPROVING,0
83,CSE20260083,Student 0083,CSE,5,2023,Guardian 0083,+919000000083,guardian0083@example.test,4,RAPIDLY_DETERIORATING,1
84,CE20260084,Student 0084,CE,6,2023,Guardian 0084,+919000000084,guardian0084@example.test,7,STABLE,0
85,EEE20260085,Student 0085,EEE,8,2022,Guardian 0085,+919000000085,guardian0085@example.test,9,STABLE,0
86,CE20260086,Student 0086,CE,6,2023,Guardian 0086,+919000000086,guardian0086@example.test,14,STABLE,0
87,ME20260087,Student 0087,ME,2,2025,Guardian 0087,+919000000087,guardian0087@example.test,3,RAPIDLY_DETERIORATING,1
88,ME20260088,Student 0088,ME,4,2024,Guardian 0088,+919000000088,guardian0088@example.test,10,IMPROVING,0
89,CE20260089,Student 0089,CE,5,2023,Guardian 0089,+919000000089,guardian0089@example.test,15,STABLE,0
90,ME20260090,Student 0090,ME,8,2022,Guardian 0090,+919000000090,guardian0090@example.test,15,GRADUALLY_DETERIORATING,1
91,ECE20260091,Student 0091,ECE,1,2025,Guardian 0091,+919000000091,guardian0091@example.test,1,STABLE,0
92,ECE20260092,Student 0092,ECE,8,2022,Guardian 0092,+919000000092,guardian0092@example.test,7,GRADUALLY_DETERIORATING,1
93,CE20260093,Student 0093,CE,3,2024,Guardian 0093,+919000000093,guardian0093@example.test,1,IMPROVING,0
94,CSE20260094,Student 0094,CSE,6,2023,Guardian 0094,+919000000094,guardian0094@example.test,6,IMPROVING,0
95,EEE20260095,Student 0095,EEE,6,2023,Guardian 0095,+919000000095,guardian0095@example.test,7,STABLE,0
